LABEL,CONNECTIONS,TYPE,HEMI,CLASSIFICATION_NAME,PAIR,SIZE
200,"L_Frontal - Brainstem
L_Subcortical - Brainstem
R_Frontal - Brainstem",P-P-P,LC,P-P-P-FrontalBrainstem-SubcorticalBrainstem-FrontalBrainstem-LC,0,4
201,"L_Parietal - R_Parietal
L_Occipital - R_Parietal
L_Temporal - R_Parietal",C-C-C,C,C-C-C-ParietalParietal-OccipitalParietal-TemporalParietal-C,0,10
202,"R_Subcortical - Brainstem",P,R,P-SubcorticalBrainstem-R,196,293
203,"R_Parietal - Brainstem
R_Temporal - Brainstem",P-P,R,P-P-ParietalBrainstem-TemporalBrainstem-R,256,80
204,"L_Frontal - Brainstem
R_Frontal - Brainstem
R_Subcortical - Brainstem",P-P-P,RC,P-P-P-FrontalBrainstem-FrontalBrainstem-SubcorticalBrainstem-RC,0,8
205,"R_Frontal - R_Subcortical
R_Temporal - R_Subcortical",P-P,R,P-P-FrontalSubcortical-TemporalSubcortical-R,215,6
206,"L_Frontal - L_Parietal
L_Parietal - L_Temporal
L_Parietal - L_Subcortical
L_Parietal - Brainstem",A-A-P-P,L,A-A-P-P-FrontalParietal-ParietalTemporal-ParietalSubcortical-ParietalBrainstem-L,182,1
207,"L_Parietal - R_Occipital
L_Occipital - R_Occipital
L_Temporal - R_Occipital",C-C-C,C,C-C-C-ParietalOccipital-OccipitalOccipital-TemporalOccipital-C,0,130
208,"R_Frontal - Brainstem
R_Cerebellum - Brainstem",P-Cb,R,P-Cb-FrontalBrainstem-CerebellumBrainstem-R,0,4
209,"L_Frontal - L_Parietal
L_Parietal - L_Temporal
L_Temporal - R_Parietal",A-A-C,LC,A-A-C-FrontalParietal-ParietalTemporal-TemporalParietal-LC,0,495
210,"R_Frontal - R_Temporal
R_Temporal - R_Subcortical
R_Temporal - Brainstem",A-P-P,R,A-P-P-FrontalTemporal-TemporalSubcortical-TemporalBrainstem-R,183,25
211,"L_Frontal - L_Parietal
L_Frontal - L_Temporal
L_Parietal - L_Temporal
L_Parietal - Brainstem",A-A-A-P,L,A-A-A-P-FrontalParietal-FrontalTemporal-ParietalTemporal-ParietalBrainstem-L,243,70
212,"R_Frontal - R_Occipital
R_Occipital - R_Temporal
R_Occipital - R_Subcortical
R_Occipital - Brainstem",A-A-P-P,R,A-A-P-P-FrontalOccipital-OccipitalTemporal-OccipitalSubcortical-OccipitalBrainstem-R,180,185
213,"L_Occipital - R_Occipital
L_Temporal - R_Occipital",C-C,C,C-C-OccipitalOccipital-TemporalOccipital-C,0,784
214,"L_Frontal - R_Temporal
R_Frontal - R_Temporal",C-A,RC,C-A-FrontalTemporal-FrontalTemporal-RC,0,342
215,"L_Frontal - L_Subcortical
L_Temporal - L_Subcortical",P-P,L,P-P-FrontalSubcortical-TemporalSubcortical-L,205,85
216,"L_Cingulate - R_Cingulate",C,C,C-CingulateCingulate-C,0,92
217,"R_Parietal - R_Temporal
R_Parietal - R_Cingulate",A-A,R,A-A-ParietalTemporal-ParietalCingulate-R,0,8
218,"L_Parietal - L_Temporal
L_Parietal - R_Parietal
L_Parietal - Brainstem",A-C-P,LC,A-C-P-ParietalTemporal-ParietalParietal-ParietalBrainstem-LC,0,8
219,"R_Parietal - R_Cerebellum
R_Frontal - Brainstem
R_Parietal - Brainstem",P-P,R,P-P-ParietalCerebellum-FrontalBrainstem-ParietalBrainstem-R,249,90
220,"R_Frontal - R_Parietal
R_Parietal - R_Temporal
R_Parietal - R_Subcortical",A-A-P,R,A-A-P-FrontalParietal-ParietalTemporal-ParietalSubcortical-R,262,96
221,"R_Frontal - R_Temporal
R_Temporal - R_Cingulate",A-A,R,A-A-FrontalTemporal-TemporalCingulate-R,173,84
222,"R_Parietal - R_Temporal
R_Occipital - R_Temporal
R_Temporal - R_Subcortical",A-A-P,R,A-A-P-ParietalTemporal-OccipitalTemporal-TemporalSubcortical-R,0,185
223,"L_Frontal - R_Frontal
L_Cingulate - R_Frontal",C-C,C,C-C-FrontalFrontal-CingulateFrontal-C,0,31
224,"L_Frontal - L_Parietal
L_Frontal - L_Temporal
L_Frontal - R_Frontal
L_Frontal - Brainstem",A-A-C-P,LC,A-A-C-P-FrontalParietal-FrontalTemporal-FrontalFrontal-FrontalBrainstem-LC,0,110
225,"L_Frontal - L_Subcortical
L_Parietal - L_Subcortical",P-P,L,P-P-FrontalSubcortical-ParietalSubcortical-L,248,92
